name,category,Keywords,Description,State_Name,Raiting,Rank,Location_URL
Deir el-Bahari Museum,Archaeological Museums,"archaeological museum, ancient artifacts, Queen Hatshepsut, Mortuary Temple, Theban Necropolis, funerary objects, Pharaonic era, cultural heritage, Luxor, regional history","The Deir el-Bahari Museum in Luxor, Egypt, houses a collection of ancient artifacts, including objects from the Mortuary Temple of Queen Hatshepsut. It provides insights into the Pharaonic era and the cultural heritage of the Theban Necropolis.",Luxor,4.7,13,"https://www.google.com/maps/place/Deir+el-Bahari/@25.7372656,32.6051598,17z/data=!3m1!4b1!4m6!3m5!1s0x14491618e3b988d1:0x692c0b4a30fc99db!8m2!3d25.7372608!4d32.6077347!16zL20vMDNydmds?entry=ttu"
Museum of Islamic Ceramics,Speciality Museums,"specialized museum, Islamic art, ceramic artifacts, pottery, tiles, decorative objects, cultural heritage, Cairo, Egypt, historical ceramics","The Museum of Islamic Ceramics in Cairo, Egypt, showcases a collection of ceramic artifacts, including pottery, tiles, and decorative objects, reflecting the rich tradition of Islamic art. It offers insights into the cultural heritage of the region through its historical ceramics.",Cairo,4.3,28,"https://www.google.com/maps/place/Islamic+Ceramics+Museum/@30.0563016,31.2205498,17z/data=!3m1!4b1!4m6!3m5!1s0x145840dde0d2eed7:0x23f5f317cc3d3438!8m2!3d30.056297!4d31.2231247!16s%2Fm%2F0406zxk?entry=ttu"
The Egyptian Museum ,History Museums,"ancient egypt, pharaohs, archaeology,artifacts, exhibits, antiquities, cultural heritage","the oldest archaeological museum in the Middle East, and houses the largest collection of Pharaonic antiquities in the world. ",Cairo,4.5,30,"https://www.google.com/maps/place/The+Egyptian+Museum+in+Cairo/@30.0483167,31.214613,15z/data=!4m10!1m2!2m1!1sThe+Egyptian+Museum+!3m6!1s0x1458b14d72adf029:0x9a38f9bbb6edbfe4!8m2!3d30.0483167!4d31.2336674!15sChNUaGUgRWd5cHRpYW4gTXVzZXVtWhUiE3RoZSBlZ3lwdGlhbiBtdXNldW2SARVhcmNoYWVvbG9naWNhbF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTFPRTQzVFdabkVBReABAA!16zL20vMDE5cGpo?entry=ttu"
Egyptian Textiles Museum,History Museums,"Egyptian textiles during the Dynastic Era (3100 BCE–300 BCE) were primarily linen, although wool was not unknown. (Cotton and silk were introduced only later.) Linen was produced in three basic grades: royal or fine linen, thin cloth, and smooth cloth.","Egyptian Textiles Museum is a unique building designed to host the world's oldest collection of Pharaonic art and monuments. Built on an area of 13,600 sq.",Cairo,3.4,55,"https://www.google.com/maps/place/Egyptian+Textiles+Museum/@30.0077293,31.2574137,17z/data=!3m1!4b1!4m6!3m5!1s0x1458409e0f8c287b:0xcf8ad77f003b844b!8m2!3d30.0077247!4d31.2599886!16s%2Fg%2F11c54_6ybx?entry=ttu"
The Royal Mummies Hall,Speciality Museums,"Considered the crown jewel of the museum, the Royal Mummies' Hall is specially designed to display the mummies of the ancient Kings and Queens of Egypt.","Royal Mummies' Hall is specially designed to display the mummies of the ancient Kings and Queens of Egypt. The design aims to give the visitor the feeling of strolling down the Valley of The Kings, where most of these mummies were originally resting.",Cairo,4.7,17,"https://www.google.com/maps/place/The+Royal+Mummies+Hall/@30.0081539,31.2456855,17z/data=!3m1!4b1!4m6!3m5!1s0x145840c42400f3c1:0xa458dfbaf6e9b2ba!8m2!3d30.0081493!4d31.2482604!16s%2Fg%2F11fy_7890w?entry=ttu"
The Child Museum,Cultural Museums,"The Children’s Museum was inaugurated during a special ceremony in 2010 by His Royal Highness Prince Henrik of Denmark, the former Head of the Supreme Council of Antiquities, Dr. Zahi Hawass, and the former Director of the Egyptian Museum, Dr. Wafaa Al Saddik.","The Children’s Museum is proud to feature a special display made of LEGO imported specially from Denmark. Along with the exciting LEGO models, we also exhibit replicas and educational models produced by the Egyptian Ministry of Tourism and Antiquities’ Production Unit.",Cairo,4.4,54,"https://www.google.com/maps/place/The+Child+Museum/@30.1022427,31.3343711,17z/data=!3m1!4b1!4m6!3m5!1s0x145815f282a7edcf:0x1f91873f650cebd2!8m2!3d30.1022381!4d31.336946!16s%2Fm%2F0406zss?entry=ttu"
Mummification Museum,Archaeological Museums,"Mummification museum in Luxor (ancient Thebes), intended to provide an understanding of the process to preserve the body. The ancient Egyptians not only applied embalming to dead humans but also to many animals (Cats, dogs, crocodiles…. etc.). God Anubis(the Jackal) was the god of embalming and mummification.","The methods of embalming, or treating the dead body, that the ancient Egyptians used is called mummification. Using special processes, the Egyptians removed all moisture from the body, leaving only a dried form that would not easily decay.",Luxor,4.3,25,"https://www.google.com/maps/place/Mummification+Museum/@25.7023214,32.6372748,17z/data=!3m1!4b1!4m6!3m5!1s0x144915c82f8983a9:0x6189ac424f113e64!8m2!3d25.7023166!4d32.6398497!16zL20vMDNwdGgx?entry=ttu"
Greco-Roman Museum,Archaeological Museums,"The museum contains several pieces dating from the Greco-Roman (Ptolemaic) era in the 3rd century BC, such as a sculpture of Apis in black granite, the sacred bull of the Egyptians, mummies, sarcophagus, tapestries, and other objects offering a view of Greco-Roman civilization in contact with ancient Egypt.","The museum's collection is the product of donations from wealthy Alexandrians as well as of excavations led by successive directors of the institution, both within the town and in its environs. Certain other objects have come from the Organization of Antiquities at Cairo",Alexanria,4.4,47,"https://www.google.com/maps/place/Greco-Roman+Museum/@31.1991898,29.9040256,17z/data=!3m1!4b1!4m6!3m5!1s0x14f5c33529a0fac1:0xe8132f86930de461!8m2!3d31.1991852!4d29.9066005!16s%2Fm%2F027jstt?entry=ttu"
Museum of Modern Egyptian Art,Art Museums,"modern, history","Museum components: The Museum of Modern Egyptian Art has 10 halls spread over three floors, in addition to an open air show as an introduction for sculpture works. ",Cairo,4.3,55,"https://www.google.com/maps/place/Museum+Of+Modern+Egyptian+Art/@30.0436926,31.2221043,17z/data=!3m1!4b1!4m6!3m5!1s0x145840d128057129:0x57487175a7641142!8m2!3d30.043688!4d31.2246792!16s%2Fm%2F0406zvv?entry=ttu"
Prince Mohamed Ali Palace,History Museums,"ancient,history, exhibits, antiquities,cultural heritage","The museum exhibits an important period in the history of modern Egypt and is characterized by its architectural design. Its modern Islamic style merges with Persian and Mamluk elements. It was also inspired by Syrian, Moroccan and Andalusian motifs, as well as Ottoman style.",Cairo,4,48,"https://www.google.com/maps/place/Prince+Mohamed+Ali+Palace+(Manial+Palace)/@30.0281845,31.2263,17z/data=!4m10!1m2!2m1!1sPrince+Mohamed+Ali+Palace!3m6!1s0x145847326973319b:0x2bb659e7c0bb809d!8m2!3d30.0289507!4d31.230013!15sChlQcmluY2UgTW9oYW1lZCBBbGkgUGFsYWNlWhsiGXByaW5jZSBtb2hhbWVkIGFsaSBwYWxhY2WSARNoaXN0b3JpY2FsX2xhbmRtYXJr4AEA!16zL20vMGJwNF84?entry=ttu"
Aswan Museum,History Museums,"ancient egypt, pharaohs, pyramids, archaeology, tutankhamun, artifacts, exhibits, antiquities, cultural heritage","The museum includes many statues of kings and individuals, some mummies of the ram, the symbol of the god ""Khnum"", various types of pottery, architectural and decorative elements, a number of sarcophagi, tools of daily life, and some funerary paintings",Aswan,4.4,9,"https://www.google.com/maps/place/Aswan+Museum/@24.0850423,32.884452,17z/data=!3m1!4b1!4m6!3m5!1s0x14367b4cbf181b19:0x8198a3efb4c1b5e8!8m2!3d24.0850374!4d32.8870269!16s%2Fm%2F0406_2x?entry=ttu"
The Agricultural Museum,Speciality Museums,"History,agricultural",The Agricultural Museum Egypt features a variety of displays about farming practices from ancient times to the present day. Agriculture has played a major role in the Egyptian history and always affected the lives of Egyptians from the days of the pharaohs up to our modern time..,Giza,4.2,50,"https://www.google.com/maps/place/The+Agricultural+Museum/@30.0459272,31.2082608,17z/data=!3m1!4b1!4m6!3m5!1s0x1458412b16993253:0x372cc80238a430c3!8m2!3d30.0459226!4d31.2108357!16s%2Fm%2F0406zn_?entry=ttu"
